date,food_hicp
2017-01-01,98.82
2017-02-01,99.65
2017-03-01,99.93
2017-04-01,100.08
2017-05-01,100.76
2017-06-01,100.37
2017-07-01,99.79
2017-08-01,98.56
2017-09-01,99.19
2017-10-01,100.77
2017-11-01,101.26
2017-12-01,101.77
2018-01-01,102.54
2018-02-01,103.27
2018-03-01,103.88
2018-04-01,104.09
2018-05-01,104.88
2018-06-01,104.51
2018-07-01,103.35
2018-08-01,103.1
2018-09-01,104.24
2018-10-01,105.15
2018-11-01,104.73
2018-12-01,105.66
2019-01-01,107.46
2019-02-01,109.27
2019-03-01,109.94
2019-04-01,110.83
2019-05-01,111.9
2019-06-01,110.91
2019-07-01,109.75
2019-08-01,109.23
2019-09-01,108.94
2019-10-01,109.86
2019-11-01,110.34
2019-12-01,111.42
2020-01-01,112.68
2020-02-01,113.5
2020-03-01,115.48
2020-04-01,117.25
2020-05-01,117.59
2020-06-01,116.86
2020-07-01,116.07
2020-08-01,115.36
2020-09-01,114.41
2020-10-01,114.52
2020-11-01,114.35
2020-12-01,114.69
2021-01-01,115.47
2021-02-01,116.0
2021-03-01,116.46
2021-04-01,116.96
2021-05-01,118.42
2021-06-01,118.62
2021-07-01,118.07
2021-08-01,117.84
2021-09-01,119.1
2021-10-01,120.5
2021-11-01,121.49
2021-12-01,122.59
2022-01-01,124.1
2022-02-01,126.82
2022-03-01,130.25
2022-04-01,133.89
2022-05-01,136.31
2022-06-01,136.76
2022-07-01,137.85
2022-08-01,140.35
2022-09-01,142.76
2022-10-01,146.32
2022-11-01,148.55
2022-12-01,150.44
2023-01-01,152.64
2023-02-01,155.64
2023-03-01,158.95
2023-04-01,160.7
2023-05-01,161.88
2023-06-01,161.44
2023-07-01,160.24
2023-08-01,155.78
2023-09-01,156.33
2023-10-01,157.69
2023-11-01,157.35
2023-12-01,157.88
2024-01-01,159.91
2024-02-01,161.24
2024-03-01,161.67
2024-04-01,162.25
2024-05-01,161.97
2024-06-01,161.27
2024-07-01,161.39
2024-08-01,162.22
2024-09-01,163.64
2024-10-01,164.99
2024-11-01,165.16
2024-12-01,165.57
2025-01-01,166.98
2025-02-01,168.35
2025-03-01,169.83
2025-04-01,171.37
2025-05-01,173.0
2025-06-01,173.83
2025-07-01,174.48
2025-08-01,176.95
2025-09-01,176.44
2025-10-01,177.31
2025-11-01,177.75
2025-12-01,178.38
