date,actual,ses_forecast,holt_forecast,hw_forecast
2024-01-01,159.91,157.8799999921024,158.2892739093926,158.62765487718744
2024-02-01,161.24,157.8799999921024,158.6985478276376,159.6105207257175
2024-03-01,161.67,157.8799999921024,159.10782174588266,160.63266069934426
2024-04-01,162.25,157.8799999921024,159.5170956641277,161.38979743754484
2024-05-01,161.97,157.8799999921024,159.92636958237276,162.00483146447456
2024-06-01,161.27,157.8799999921024,160.33564350061778,161.15772957957674
2024-07-01,161.39,157.8799999921024,160.74491741886283,160.01000228575475
2024-08-01,162.22,157.8799999921024,161.15419133710787,158.78015588007722
2024-09-01,163.64,157.8799999921024,161.56346525535292,158.92532252127032
2024-10-01,164.99,157.8799999921024,161.97273917359794,159.79407720668098
2024-11-01,165.16,157.8799999921024,162.382013091843,159.7192106244666
2024-12-01,165.57,157.8799999921024,162.79128701008804,160.0864921162398
2025-01-01,166.98,157.8799999921024,163.20056092833306,160.83414699800457
2025-02-01,168.35,157.8799999921024,163.6098348465781,161.81701284653462
2025-03-01,169.83,157.8799999921024,164.01910876482316,162.8391528201614
2025-04-01,171.37,157.8799999921024,164.4283826830682,163.59628955836197
2025-05-01,173.0,157.8799999921024,164.83765660131323,164.2113235852917
2025-06-01,173.83,157.8799999921024,165.24693051955828,163.36422170039387
2025-07-01,174.48,157.8799999921024,165.65620443780332,162.21649440657188
2025-08-01,176.95,157.8799999921024,166.06547835604837,160.98664800089435
2025-09-01,176.44,157.8799999921024,166.4747522742934,161.13181464208745
2025-10-01,177.31,157.8799999921024,166.88402619253844,162.0005693274981
2025-11-01,177.75,157.8799999921024,167.2933001107835,161.92570274528373
2025-12-01,178.38,157.8799999921024,167.70257402902854,162.29298423705694
